date,open,high,low,close,quote,BIAS(5),MA5,quote(3)
1995/1/12,6749,6749,6571,6609,-168,-0.025968284,6785.2,-260
1995/1/13,6673,6685,6582,6582,-27,-0.020331617,6718.6,-174
1995/1/14,6565,6565,6450,6511,-71,-0.020460358,6647,-266
1995/1/16,6556,6556,6473,6536,25,-0.010146903,6603,-73
1995/1/17,6564,6574,6487,6515,-21,-0.005434617,6550.6,-67
1995/1/18,6558,6638,6546,6623,108,0.010620441,6553.4,112
1995/1/19,6635,6672,6598,6598,-25,0.006314248,6556.6,62
1995/1/20,6572,6572,6370,6372,-226,-0.024016665,6528.8,-143
1995/1/21,6344,6432,6278,6431,59,-0.011801223,6507.8,-192
1995/1/23,6446,6451,6295,6295,-136,-0.026114669,6463.8,-303
1995/1/24,6180,6242,6167,6167,-128,-0.032263127,6372.6,-205
1995/1/25,6277,6329,6260,6299,132,-0.002186035,6312.8,-132
1995/1/26,6293,6348,6270,6307,8,0.001142893,6299.8,12
1995/2/4,6444,6455,6328,6328,21,0.007771691,6279.2,161
1995/2/6,6298,6417,6298,6417,89,0.01798972,6303.6,118
1995/2/7,6474,6554,6474,6531,114,0.024245656,6376.4,224
1995/2/8,6538,6549,6491,6526,-5,0.01622598,6421.8,198
1995/2/9,6578,6601,6530,6543,17,0.011439171,6469,126
1995/2/10,6574,6574,6519,6554,11,0.00610973,6514.2,23
1995/2/11,6592,6598,6548,6565,11,0.003239708,6543.8,39
1995/2/13,6578,6578,6498,6498,-67,-0.005996451,6537.2,-45
1995/2/14,6505,6525,6478,6504,6,-0.004408523,6532.8,-50
1995/2/15,6530,6581,6528,6576,72,0.005596844,6539.4,11
1995/2/16,6642,6668,6617,6646,70,0.013449632,6557.8,148
1995/2/17,6691,6691,6635,6646,0,0.010952236,6574,142
1995/2/18,6696,6696,6636,6650,4,0.006904488,6604.4,74
1995/2/20,6688,6689,6604,6612,-38,-0.002112889,6626,-34
1995/2/21,6625,6638,6594,6633,21,-0.00066291,6637.4,-13
1995/2/22,6652,6652,6595,6603,-30,-0.003892107,6628.8,-47
1995/2/23,6583,6614,6552,6552,-51,-0.008774584,6610,-60
1995/2/24,6598,6640,6582,6596,44,-0.000484907,6599.2,-37
1995/2/25,6615,6625,6588,6591,-5,-0.00060652,6595,-12
1995/2/27,6404,6449,6284,6388,-203,-0.024136877,6546,-164
1995/2/28,6436,6509,6408,6509,121,-0.002788332,6527.2,-87
1995/3/1,6436,6446,6331,6337,-172,-0.022701336,6484.2,-254
1995/3/2,6436,6474,6419,6450,113,-0.000774593,6455,62
1995/3/3,6478,6516,6478,6516,66,0.011801242,6440,7
1995/3/4,6528,6530,6497,6530,14,0.009523221,6468.4,193
1995/3/6,6529,6540,6474,6474,-56,0.001950042,6461.4,24
1995/3/7,6479,6496,6437,6480,6,-0.001540832,6490,-36
1995/3/8,6478,6511,6426,6426,-54,-0.009128477,6485.2,-104
1995/3/9,6432,6466,6388,6388,-38,-0.011084278,6459.6,-86
1995/3/10,6435,6460,6428,6453,65,0.001365569,6444.2,-27
1995/3/11,6495,6509,6480,6480,27,0.00536817,6445.4,54
1995/3/13,6520,6525,6496,6503,23,0.008217054,6450,115
1995/3/14,6501,6501,6455,6480,-23,0.002971768,6460.8,27
1995/3/15,6524,6557,6519,6555,75,0.0093622,6494.2,75
1995/3/16,6596,6604,6564,6564,9,0.007304647,6516.4,61
1995/3/17,6614,6618,6582,6594,30,0.00838023,6539.2,114
1995/3/18,6625,6625,6574,6587,-7,0.004728493,6556,32
1995/3/20,6585,6585,6541,6541,-46,-0.004141165,6568.2,-23
1995/3/21,6585,6587,6520,6524,-17,-0.005790917,6562,-70
1995/3/22,6438,6479,6355,6479,-45,-0.010084034,6545,-108
1995/3/23,6496,6496,6439,6441,-38,-0.011267346,6514.4,-100
1995/3/24,6434,6471,6428,6433,-8,-0.007804306,6483.6,-91
1995/3/25,6461,6465,6399,6401,-32,-0.008457773,6455.6,-78
1995/3/27,6404,6470,6366,6470,69,0.003910129,6444.8,29
1995/3/28,6506,6506,6463,6464,-6,0.003446242,6441.8,31
1995/3/30,6482,6514,6460,6514,50,0.00892138,6456.4,113
1995/3/31,6534,6557,6524,6524,10,0.007629815,6474.6,54
1995/4/1,6537,6573,6503,6573,49,0.00983254,6509,109
1995/4/6,6599,6599,6571,6575,2,0.006891271,6530,61
1995/4/7,6593,6593,6518,6518,-57,-0.003485812,6540.8,-6
1995/4/8,6548,6552,6500,6552,34,0.000549753,6548.4,-21
1995/4/10,6561,6583,6528,6528,-24,-0.003237037,6549.2,-47
1995/4/11,6535,6541,6497,6497,-31,-0.005662687,6534,-21
1995/4/12,6532,6532,6453,6462,-35,-0.007586694,6511.4,-90
1995/4/13,6476,6476,6411,6417,-45,-0.01143086,6491.2,-111
1995/4/14,6427,6444,6356,6356,-61,-0.014879107,6452,-141
1995/4/15,6351,6394,6247,6247,-109,-0.023265268,6395.8,-215
1995/4/17,6218,6239,6086,6112,-135,-0.032727733,6318.8,-305
1995/4/18,6163,6163,6050,6106,-6,-0.022664703,6247.6,-250
1995/4/19,6141,6141,6095,6109,3,-0.012447462,6186,-138
1995/4/20,6132,6167,6125,6136,27,-0.00097688,6142,24
1995/4/21,6158,6158,5932,5943,-193,-0.022725778,6081.2,-163
1995/4/22,5981,5999,5913,5987,44,-0.011426307,6056.2,-122
1995/4/24,5992,6006,5945,5963,-24,-0.010717367,6027.6,-173
1995/4/25,5936,5936,5776,5803,-160,-0.027386699,5966.4,-140
1995/4/26,5858,5864,5667,5735,-68,-0.025687201,5886.2,-252
1995/4/27,5769,5898,5727,5898,163,0.0035391,5877.2,-65
1995/4/28,5820,5854,5786,5825,-73,-0.003387627,5844.8,22
1995/4/29,5853,5861,5803,5803,-22,-0.001685934,5812.8,68
1995/5/1,5821,5821,5763,5789,-14,-0.003614458,5810,-109
1995/5/2,5738,5771,5661,5771,-18,-0.007941965,5817.2,-54
1995/5/3,5799,5843,5779,5779,8,-0.002485587,5793.4,-24
1995/5/4,5797,5797,5699,5699,-80,-0.01199681,5768.2,-90
1995/5/5,5645,5670,5571,5574,-125,-0.025933175,5722.4,-197
1995/5/6,5537,5642,5537,5642,68,-0.00895837,5693,-137
1995/5/8,5630,5674,5615,5674,32,7.05E-05,5673.6,-25
1995/5/9,5674,5789,5674,5775,101,0.018015795,5672.8,201
1995/5/10,5768,5794,5742,5765,-10,0.013893774,5686,123
1995/5/11,5785,5820,5776,5776,11,0.008661637,5726.4,102
1995/5/12,5758,5768,5715,5740,-36,-0.001044205,5746,-35
1995/5/13,5789,5848,5788,5844,104,0.011072664,5780,79
1995/5/15,5844,5852,5825,5828,-16,0.006458743,5790.6,52
1995/5/16,5816,5823,5773,5799,-29,0.000275986,5797.4,59
1995/5/17,5823,5838,5771,5771,-28,-0.00438203,5796.4,-73
1995/5/18,5746,5760,5728,5758,-13,-0.007241379,5800,-70
1995/5/19,5778,5786,5738,5757,-1,-0.004427074,5782.6,-42
1995/5/20,5791,5797,5730,5730,-27,-0.005726184,5763,-41
1995/5/22,5722,5728,5690,5705,-25,-0.006824275,5744.2,-53
1995/5/23,5742,5742,5705,5705,0,-0.00453673,5731,-52
1995/5/24,5683,5683,5626,5645,-60,-0.01110644,5708.4,-85
1995/5/25,5623,5688,5618,5618,-27,-0.011019963,5680.6,-87
1995/5/26,5561,5597,5512,5561,-57,-0.015194446,5646.8,-144
1995/5/27,5598,5598,5524,5524,-37,-0.015435069,5610.6,-121
1995/5/29,5493,5597,5417,5597,73,0.001431383,5589,-21
1995/5/30,5590,5676,5590,5647,50,0.010305221,5589.4,86
1995/6/1,5703,5727,5692,5714,67,0.018792569,5608.6,190
1995/6/5,5745,5745,5671,5671,-43,0.007175079,5630.6,74
1995/6/6,5664,5680,5629,5678,7,0.002932137,5661.4,31
1995/6/7,5726,5743,5681,5681,3,0.000493114,5678.2,-33
1995/6/8,5677,5694,5638,5641,-40,-0.006341377,5677,-30
1995/6/9,5646,5646,5603,5609,-32,-0.00830976,5656,-69
1995/6/10,5602,5641,5587,5641,32,-0.00159292,5650,-40
1995/6/12,5664,5664,5615,5620,-21,-0.003263337,5638.4,-21
1995/6/13,5622,5623,5513,5513,-107,-0.016378818,5604.8,-96
1995/6/14,5478,5482,5400,5413,-100,-0.026298748,5559.2,-228
1995/6/15,5459,5459,5318,5360,-53,-0.02711729,5509.4,-260
1995/6/16,5401,5443,5350,5443,83,-0.004899631,5469.8,-70
1995/6/17,5344,5377,5328,5341,-102,-0.013483561,5414,-72
1995/6/19,5329,5329,5249,5249,-92,-0.02092815,5361.2,-111
1995/6/20,5293,5332,5247,5317,68,-0.004679895,5342,-126
1995/6/21,5320,5320,5238,5238,-79,-0.014969159,5317.6,-103
1995/6/22,5249,5361,5199,5361,123,0.011280465,5301.2,112
1995/6/23,5397,5527,5392,5490,129,0.029825549,5331,173
1995/6/24,5545,5629,5528,5629,139,0.041057888,5407,391
1995/6/26,5681,5690,5616,5646,17,0.03164742,5472.8,285
1995/6/27,5609,5660,5579,5593,-53,0.008874779,5543.8,103
1995/6/28,5580,5611,5495,5495,-98,-0.013571249,5570.6,-134
